position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Patrice Talon,Q16669148,2016-04-06,male,1958-05-01,,Patrice Talon at USAID HQ (4) (cropped).jpg,Patrice Talon
"Minister of Foreign Affairs, African Integration, La Francophonie, and Beninese Abroad",Aurélien Agbénonci,Q16840908,2016,male,1958,,Benin's Minister of Foreign Affairs Aurélien Agbénonci - 2016 (cropped).jpg,Aurélien Agbénonci
