wanted,position,positionid,from,start,end
Q20995493,Minister of Justice,Q104816970,Q6762653,2012-01-03,2013-02-05
Q3037195,Minister of Justice,Q104816970,Q6283486,1998-05-15,2003-06-12
Q7459645,Minister of the Interior,Q111094010,Q5218899,1998-05-15,2005-02-04
Q6283486,"Minister of Foreign Affairs, African Integration, La Francophonie, and Beninese Abroad",Q54555913,Q4775490,1998,2003
